REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"5037,87",1
"23071,60",1
"425,00",1
"17091,93",1
"24306,66",1
"4552,79",1
"21198,58",1
"23109,37",1
"9943,08",1
"4656,92",1
"3486,29",1
"3042,62",1
"4373,80",1
"4529,81",1
"9370,80",1
"3053,92",1
"22724,57",1
"14462,48",1
"10315,90",1
"4858,38",1
"3763,52",1
"8933,57",1
"4751,92",1
"6073,67",1
"21636,15",1
"13819,31",1
"14399,99",1
"24809,45",1
"11766,53",1
"10089,90",1
"8218,30",1
"6543,06",1
"11372,64",1
"12574,71",1
"4030,99",1
"8546,90",1
"22954,70",1
"7974,61",1
"15031,82",1
"5493,62",1
"8074,56",1
"8562,46",1
"6042,14",1
"6011,71",1
"26379,85",1
"6025,03",1
"6449,62",1
"6130,00",1
"6513,75",1
"6078,57",1
"15216,29",1
"13382,40",1
"21288,95",1
"6099,93",1
"15406,32",1
"4002,19",1
"4273,87",1
"5807,45",1
"5044,27",1
"14247,64",1
"19985,50",1
"11141,36",1
"15036,32",1
"8112,76",1
"4032,49",1
"20470,75",1
"6416,27",1
"3541,51",1
"24617,02",1
"5362,89",1
"7998,16",1
"9490,40",1
"9715,51",1
"2236,32",1
"20983,20",1
"6856,99",1
"6042,04",1
"3199,33",1
"9603,35",1
"20824,00",1
"5396,20",1
"16171,88",1
"9399,53",1
"10221,97",1
"5107,69",1
"14256,58",1
"23382,73",1
"4664,02",1
"16643,66",1
"6607,53",1
"11198,68",1
"8995,61",1
"3000,58",1
"4378,86",1
"4630,61",1
"6036,81",1
"20911,09",1
"9162,09",1
"6334,68",1
"12572,33",1
"12430,03",1
"21005,71",1
"3809,64",1
"6249,27",1
"6480,57",1
"7640,58",1
"9954,10",1
"5482,35",1
"6651,19",1
"11043,63",1
"3022,73",1
"15608,69",1
"7451,34",1
"7328,46",1
"1640,26",1
"4196,12",1
"19651,91",1
"8018,80",1
"5527,87",1
"13414,73",1
"6989,17",1
"5033,12",1
"16148,31",1
"6382,62",1
"6157,74",1
"13964,99",1
"26532,57",1
"4543,06",1
"24177,15",1
"4550,17",1
"7221,81",1
"24300,55",1
"1556,93",1
"12702,22",1
"13517,49",1
"9964,64",1
"8888,91",1
"5518,91",1
"17276,96",1
"9603,69",1
"8369,71",1
"3439,65",1
"15730,52",1
"25083,86",1
"17670,45",1
"7968,21",1
"17759,18",1
"13497,89",1
"23118,89",1
"5310,48",1
"15682,60",1
"19538,23",1
"28312,19",1
"5160,63",1
"32760,95",1
"17542,80",1
"5716,08",1
